City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Izhma,RU,2021-05-27 02:54:50,65.0083,53.9113,40.37,45,8,4.14
181,Iqaluit,CA,2021-05-27 02:54:50,63.7506,-68.5145,31.73,80,75,6.91
182,Cabedelo,BR,2021-05-27 02:54:50,-6.9811,-34.8339,75.87,86,51,10.94
183,Caraballeda,VE,2021-05-27 02:54:51,10.6112,-66.8522,81.37,78,83,8.3
184,Hamilton,US,2021-05-27 02:50:38,39.1834,-84.5333,69.78,94,40,1.01
185,Namanga,KE,2021-05-27 02:54:51,-2.5433,36.7905,57.4,89,61,2.01
186,Sarny,UA,2021-05-27 02:54:52,51.338,26.6019,49.03,87,5,6.44
187,Camacha,PT,2021-05-27 02:54:52,33.0833,-16.3333,62.02,68,75,13.8
188,San Pedro,PH,2021-05-27 02:54:53,14.35,121.0167,91.31,62,20,6.44
189,Piacabucu,BR,2021-05-27 02:53:13,-10.4056,-36.4344,76.14,76,20,10.4
190,San Cristobal,VE,2021-05-27 02:52:47,7.7669,-72.225,75.38,92,49,2.39
191,Waingapu,ID,2021-05-27 02:54:54,-9.6567,120.2641,85.12,64,82,18.54
192,Port Augusta,AU,2021-05-27 02:54:54,-32.5,137.7667,62.71,55,43,7.47
193,Sistranda,NO,2021-05-27 02:54:54,63.7256,8.834,48.9,88,57,11.74
194,Mehamn,NO,2021-05-27 02:54:55,71.0357,27.8492,40.01,74,91,14.63
195,Phan Thiet,VN,2021-05-27 02:54:55,10.9333,108.1,84.56,70,100,4.34
196,Melfort,CA,2021-05-27 02:54:56,52.8667,-104.6177,50.13,32,19,6.91
197,Dunmore Town,BS,2021-05-27 02:54:56,25.5,-76.65,76.5,70,78,11.36
198,Phalaborwa,ZA,2021-05-27 02:54:57,-23.943,31.1411,58.28,57,0,3.49
199,Penzance,GB,2021-05-27 02:54:57,50.1186,-5.5371,48.76,82,69,5.32
200,Syracuse,IT,2021-05-27 02:54:57,37.0881,15.2792,64.44,69,69,2.33
201,Norman Wells,CA,2021-05-27 02:54:58,65.282,-126.8329,46.44,76,75,10.36
202,Jiangdu,CN,2021-05-27 02:54:58,32.4286,119.5574,81.9,55,51,9.42
203,Noumea,NC,2021-05-27 02:50:11,-22.2763,166.4572,75.0,99,3,4.54
204,Kailua,US,2021-05-27 02:54:59,21.4022,-157.7394,83.61,69,1,6.91
205,Mwanza,TZ,2021-05-27 02:54:59,-2.5167,32.9,69.85,68,40,0.0
206,Half Moon Bay,US,2021-05-27 02:53:11,37.4636,-122.4286,65.34,77,90,12.66
207,Lodja,CD,2021-05-27 02:55:00,-3.4833,23.4333,66.56,68,93,2.19
208,Arman,RU,2021-05-27 02:55:00,59.7,150.1667,42.35,87,100,3.65
209,Mount Gambier,AU,2021-05-27 02:53:12,-37.8333,140.7667,58.91,77,75,16.11
210,San Borja,BO,2021-05-27 02:55:01,-14.8167,-66.85,69.85,88,36,2.17
211,Tchollire,CM,2021-05-27 02:55:02,8.4022,14.1698,73.87,75,47,3.51
212,Mahanje,TZ,2021-05-27 02:55:04,-9.9333,35.3333,52.57,93,13,2.51
213,Banepa,NP,2021-05-27 02:55:04,27.6298,85.5214,64.72,100,75,2.51
214,Inuvik,CA,2021-05-27 02:55:05,68.3499,-133.7218,34.56,69,90,9.22
215,Hami,CN,2021-05-27 02:55:05,42.8,93.45,88.16,8,0,13.09
216,Ukhta,RU,2021-05-27 02:55:06,63.5671,53.6835,39.65,47,21,4.12
217,Kettering,US,2021-05-27 02:55:06,39.6895,-84.1688,68.4,92,1,5.01
218,Tukrah,LY,2021-05-27 02:50:24,32.5341,20.5791,67.53,74,0,4.05
219,Pangai,TO,2021-05-27 02:55:07,-19.8,-174.35,78.91,73,75,8.05
220,Vila Franca Do Campo,PT,2021-05-27 02:55:07,37.7167,-25.4333,59.41,79,84,9.42
221,Blythe,US,2021-05-27 02:51:12,33.6103,-114.5964,97.25,5,1,7.38
222,Margate,GB,2021-05-27 02:55:08,51.3813,1.3862,52.21,80,15,1.99
223,San Carlos De Bariloche,AR,2021-05-27 02:55:08,-41.1456,-71.3082,53.44,73,75,13.85
224,Bafra,TR,2021-05-27 02:51:18,41.5678,35.9069,55.78,71,24,4.43
225,Tuatapere,NZ,2021-05-27 02:55:09,-46.1333,167.6833,49.82,72,100,6.91
226,Carnarvon,AU,2021-05-27 02:55:09,-24.8667,113.6333,75.27,38,0,12.66
227,Boddam,GB,2021-05-27 02:55:10,57.4667,-1.7833,47.39,87,94,9.37
228,Cayenne,GF,2021-05-27 02:55:10,4.9333,-52.3333,78.84,90,75,7.0
229,Sao Joao Da Barra,BR,2021-05-27 02:55:10,-21.6403,-41.0511,73.0,86,87,8.77
230,Ekhabi,RU,2021-05-27 02:55:11,53.5102,142.9671,47.46,54,91,5.59
231,Aboisso,CI,2021-05-27 02:55:11,5.4678,-3.2071,76.62,96,98,3.4
232,Beloha,MG,2021-05-27 02:55:12,-25.1667,45.05,61.93,96,2,4.88
